pp,trial,voice_id,condition,response_type,rate
P01,1,clone,repeat,SoPA,2.8
P01,2,clone,enhance,SoPA,2.0
P01,3,clone,counter,SoPA,1.6
P01,4,clone,repeat,SoPA,2.0
P01,5,clone,enhance,SoPA,1.8
P01,6,clone,counter,SoPA,1.4
P01,7,robotic,counter,SoPA,1.4
P01,8,robotic,enhance,SoPA,2.4
P01,9,robotic,repeat,SoPA,3.0
P01,10,robotic,counter,SoPA,1.8
P01,11,robotic,enhance,SoPA,3.2
P01,12,robotic,repeat,SoPA,3.8
P02,1,clone,repeat,SoPA,3.6
P02,2,clone,enhance,SoPA,1.0
P02,3,clone,counter,SoPA,2.0
P02,4,clone,repeat,SoPA,3.4
P02,5,clone,enhance,SoPA,4.0
P02,6,clone,counter,SoPA,4.4
P02,7,robotic,counter,SoPA,2.4
P02,8,robotic,enhance,SoPA,4.8
P02,9,robotic,repeat,SoPA,5.2
P02,10,robotic,counter,SoPA,2.2
P02,11,robotic,enhance,SoPA,5.0
P02,12,robotic,repeat,SoPA,4.4
P03,1,clone,enhance,SoPA,3.8
P03,2,clone,counter,SoPA,4.0
P03,3,clone,repeat,SoPA,5.2
P03,4,clone,enhance,SoPA,4.6
P03,5,clone,counter,SoPA,4.0
P03,6,clone,repeat,SoPA,4.6
P03,7,robotic,repeat,SoPA,5.0
P03,8,robotic,counter,SoPA,3.8
P03,9,robotic,enhance,SoPA,4.4
P03,10,robotic,repeat,SoPA,4.8
P03,11,robotic,counter,SoPA,2.4
P03,12,robotic,enhance,SoPA,4.6
P04,1,clone,enhance,SoPA,2.0
P04,2,clone,counter,SoPA,1.8
P04,3,clone,repeat,SoPA,2.4
P04,4,clone,enhance,SoPA,3.0
P04,5,clone,counter,SoPA,2.2
P04,6,clone,repeat,SoPA,1.4
P04,7,robotic,repeat,SoPA,3.0
P04,8,robotic,counter,SoPA,1.2
P04,9,robotic,enhance,SoPA,4.2
P04,10,robotic,repeat,SoPA,4.6
P04,11,robotic,counter,SoPA,5.0
P05,1,clone,counter,SoPA,1.6
P05,2,clone,repeat,SoPA,5.2
P05,3,clone,enhance,SoPA,4.4
P05,4,clone,counter,SoPA,1.0
P05,5,clone,repeat,SoPA,6.0
P05,6,clone,enhance,SoPA,3.2
P05,7,robotic,enhance,SoPA,4.2
P05,8,robotic,repeat,SoPA,7.0
P05,9,robotic,counter,SoPA,1.6
P05,10,robotic,enhance,SoPA,6.0
P05,11,robotic,repeat,SoPA,7.0
